Объект;ДЦ источник;Название ОИ;Категория;№ОИ;UID OI;UID PO;ДЦ получатель;Название ОИ;Категория;№ОИ;UID OI;UID PO;Комментарии;передача в ИА
РДУ Саратовское;Саратовское РДУ;U376;ЕИ;376;4c1cc74a-e275-4a2b-a2a1-72967918cf46;8043b74a-cc5a-4f94-85c1-29fb6379da2e;ОДУ Средней Волги;СЭС ЭС Ульяновской области - ЭС Саратовской области;ЕИ;2669;c1effc5f-1737-45d5-a03a-ee005b50dc95;e1020022-5ac8-4360-88c3-583bc586a078;Несоответсвие привязки в ИМ;True
РДУ Саратовское;Саратовское РДУ;U787;ЕИ;787;f9d740be-826a-4f20-a540-af1c9163fd7c;f6cb6c8f-a034-4823-b216-2d81088fed71;ОДУ Средней Волги;СЭС ЭС Саратовской области - ЭС Волгоградской области;ЕИ;2665;9d42ffe0-40f5-4f2b-aeca-7c7994828091;c613392d-cb99-45ea-8fae-201cec9133a1;Несоответсвие привязки в ИМ;True
РДУ Саратовское;Саратовское РДУ;U788;ЕИ;788;c4f056b2-9912-4875-92ca-a049b9e2cfa8;a45818e6-1b92-4d3b-a1cb-9b611e12dab6;ОДУ Средней Волги;СЭС ЭС Саратовской области - ЭС Воронежской области;ЕИ;2666;f8e23b92-4434-48fc-8b51-96bf7bb78cf4;3d82c61a-bfe5-450c-a9d8-0fdf7ce5f1d4;Несоответсвие привязки в ИМ;True
РДУ Саратовское;Саратовское РДУ;U325;ЕИ;325;e3cebb1b-bf66-4ddf-aa38-8a5fc6909a98;4230c539-cbe7-4b21-8dc3-3ebbe384655c;ОДУ Средней Волги;СЭС ЭС Саратовской области - ЭС Пензенской области;ЕИ;2667;48dcd66a-421e-49c8-81aa-9098db8507ab;6a3dde4f-d2b3-4cf7-a26b-b11c4aa66060;Несоответсвие привязки в ИМ;True
РДУ Саратовское;Саратовское РДУ;U375;ЕИ;375;81f5c019-4b10-4207-a772-181a7de54022;4b10ac5f-3462-4560-9124-9ec8ceeea080;ОДУ Средней Волги;СЭС ЭС Саратовской области - ЭС Самарской области;ЕИ;2668;9d6078f9-a069-4eeb-9aa2-1035bc75a9c6;c28934ed-13f6-4567-b112-6259e199384a;Несоответсвие привязки в ИМ;True
РДУ Нижегородское;Нижегородское РДУ;U310;ЕИ;310;798b2abf-86f7-42ef-8e77-ff8a39dc56cf;3b4b8291-cd40-4366-9be0-54f8a4299f43;ОДУ Средней Волги;НЭС ЭС Кировской области – ЭС Нижегородской области;ЕИ;2624;165b28e4-b28a-49ec-808c-ab1fa7f618cb;9e868130-a475-45bd-ad4f-78745969549a;Несоответсвие привязки в ИМ;True
РДУ Ульяновское;Самарское РДУ;U1635;ЕИ;1635;3fc0dee6-41e9-4a60-b7de-129ad92e3574;215a66f1-6bee-48a4-b6e8-0b88346f400f;ОДУ Средней Волги;УЭС ЭС Ульяновской области - ЭС Республики Татарстан;ЕИ;2919;5ddc5a73-2c02-4743-98a4-90ff68e3186f;0e9cb15e-ca0b-4337-bbef-569be01ab5cc;Несоответсвие привязки в ИМ;True
РДУ Нижегородское;Нижегородское РДУ;U331;ЕИ;331;d1059136-7d79-4e8f-8305-3a1fe8e42d4a;54ee15ad-4f5f-4960-b593-04a2e8676611;ОДУ Средней Волги;НЭС ЭС Чувашской Республики – ЭС Нижегородской области;ЕИ;2635;94685060-fb67-46f1-92d7-7152f4f4ab88;0873c619-6d9b-4170-a202-9dea2e189228;Несоответсвие привязки в ИМ;True
РДУ Саратовское;Саратовское РДУ;U114;ЕИ;114;948bc8e1-b0e9-43ee-b0c2-255df4123c3e;b332bb38-bcd4-4713-a186-8339148fc74a;ОДУ Средней Волги;СЭС Саратовская ТЭЦ-1 Сальдо;ЕИ;2650;367d9548-6924-4020-85fa-c0f6f29ca978;ae2a4ad5-773b-4260-a36d-00e4f487df0f;Несоответсвие привязки в ИМ;True
РДУ Самарское;Самарское РДУ;U1981;ЕИ;1981;07271870-aa39-4dde-bf8b-893e9a43a21c;e2598e97-090e-4487-8af4-e5983779eda5;ОДУ Средней Волги;СамЭС ТЭЦ-2 КНПЗ Сальдо;ЕИ;3193;1a2e2db4-c66a-4dc5-ba3c-2f113037d7e4;1d0916a7-79b8-4616-b518-6f912d339699;Несоответсвие привязки в ИМ;True
