Объект;Название ОИ;ДЦ источник;№ОИ;UID;ДЦ получатель;№ОИ;UID;Комментарии;передача в ИА
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Красноармейская-Куйбышевская №2 - Uab;Самарское РДУ;32220;099147ac-dfe4-4ea0-b812-49194033a4d3;ОДУ Средней Волги;11892;a4373a10-0a45-4ce4-a4ff-e5ce2b9ff172;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Красноармейская-Куйбышевская №2 - Ubc;Самарское РДУ;32221;ad8c08bd-e212-404f-a724-97014e7619f7;ОДУ Средней Волги;11893;a4373a10-0a45-4ce4-a4ff-e5ce2b9ff172;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Красноармейская-Куйбышевская №2 - Uca;Самарское РДУ;32222;c4576d57-39d8-4af7-b35e-c3969c4b69f9;ОДУ Средней Волги;11894;a4373a10-0a45-4ce4-a4ff-e5ce2b9ff172;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Жигулевская ГЭС-Куйбышевская - Uab;Самарское РДУ;32236;30018406-3e87-4e54-a4d9-bb710eb7d658;ОДУ Средней Волги;11908;58cb07f6-f6ff-48dc-ab71-ee6b2526aed5;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Жигулевская ГЭС-Куйбышевская - Ubc;Самарское РДУ;32237;1986c329-8172-4d42-82a0-4e9a0b0f286c;ОДУ Средней Волги;11909;58cb07f6-f6ff-48dc-ab71-ee6b2526aed5;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Жигулевская ГЭС-Куйбышевская - Uca;Самарское РДУ;32238;ce378573-44d8-4007-a3f9-13f7e1191cad;ОДУ Средней Волги;11910;58cb07f6-f6ff-48dc-ab71-ee6b2526aed5;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Заинская ГРЭС-Куйбышевская - Uab;Самарское РДУ;32244;8eba6eef-f7f4-4692-ac8f-80beb9583f0f;ОДУ Средней Волги;11916;91cc35b3-f98d-4f71-83ef-b35db639a89e;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Заинская ГРЭС-Куйбышевская - Ubc;Самарское РДУ;32245;0efd9caf-e9b0-4424-a39a-6e26766dd9b2;ОДУ Средней Волги;11917;91cc35b3-f98d-4f71-83ef-b35db639a89e;Несоответсвие привязки в ИМ;False
ПС 500 кВ Куйбышевская;КБШ ВЛ 500кВ Заинская ГРЭС-Куйбышевская - Uca;Самарское РДУ;32246;ae6883bf-a2f9-43d1-9361-83854026654b;ОДУ Средней Волги;11918;91cc35b3-f98d-4f71-83ef-b35db639a89e;Несоответсвие привязки в ИМ;False
ПС 220 кВ Новоотрадная;СамЭС U 220 п\ст Новоотрадная 2;Самарское РДУ;999;5126f2f5-cd6c-439d-81d2-881a6c1e93dc;ОДУ Средней Волги;3360;1b6f47bd-517b-430e-b270-0bdd1e13ca96;Несоответсвие привязки в ИМ;False
АЭС Балаковская АЭС;Р500 БАЭС - КБШ 1;ОДУ Средней Волги;58;ca045417-d104-411b-be94-3018b1cb167e;Самарское РДУ;1257;fbeeedc3-cf34-4b48-93c4-d5c5c07d4a73;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Р КБШ АТ1 500/220;ОДУ Средней Волги;303;9e698442-8dfb-4866-b625-ca3459326510;Пензенское РДУ;3094;8ae8de92-ce57-4d36-8975-2941633ebf90;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Р КБШ АТ1 500/220;ОДУ Средней Волги;303;9e698442-8dfb-4866-b625-ca3459326510;Саратовское РДУ;11392;8ae8de92-ce57-4d36-8975-2941633ebf90;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Р КБШ АТ2 500/220;ОДУ Средней Волги;304;3387cb84-19ca-4974-be7f-b655601d2127;Пензенское РДУ;3095;bb253f91-45eb-4b87-a7aa-a2b5caa2081f;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Р КБШ АТ2 500/220;ОДУ Средней Волги;304;3387cb84-19ca-4974-be7f-b655601d2127;Саратовское РДУ;11393;bb253f91-45eb-4b87-a7aa-a2b5caa2081f;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Q КБШ АТ1 500/220;ОДУ Средней Волги;342;62f3b061-31c3-4a63-9b0f-a24d0ec74461;Пензенское РДУ;3101;ebb80167-525e-4736-adb7-8d87c7523026;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Q КБШ АТ1 500/220;ОДУ Средней Волги;342;62f3b061-31c3-4a63-9b0f-a24d0ec74461;Саратовское РДУ;11402;ebb80167-525e-4736-adb7-8d87c7523026;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Q КБШ АТ2 500/220;ОДУ Средней Волги;343;7a3fea29-0215-4bf8-98b7-5daa4a93fe02;Пензенское РДУ;3102;8fbbe269-6ecd-4287-a8bb-59b2b071959e;Несоответсвие привязки в ИМ;True
ПС 500 кВ Куйбышевская;Q КБШ АТ2 500/220;ОДУ Средней Волги;343;7a3fea29-0215-4bf8-98b7-5daa4a93fe02;Саратовское РДУ;11403;8fbbe269-6ecd-4287-a8bb-59b2b071959e;Несоответсвие привязки в ИМ;True
ГРЭС Заинская ГРЭС;ВЛ 500 кВ Заинская ГРЭС – Куйбышевская Uab;РДУ Татарстана;250;2a8b3ccb-5131-4f94-bbcf-650e3ecef6f4;ОДУ Средней Волги;1931;cda03dfd-93b2-425a-ae89-642cc7ea44f8;Несоответсвие привязки в ИМ;False
АЭС Балаковская АЭС;БАЭС ВЛ-500кВ БАЭС-Куйбышевск 1-Uab;Саратовское РДУ;10775;f5149e57-c897-4190-a379-34cc56cfc273;ОДУ Средней Волги;7531;0d82b7ce-e5b4-4c14-b2cf-46b9cae5f964;Несоответсвие привязки в ИМ;False
